Date,Day Number,Day,Month,Short Month,Calendar Month Number,Calendar Month Label,Calendar Year,Calendar Year Label,Fiscal Month Number,Fiscal Month Label,Fiscal Year,Fiscal Year Label,ISO Week Number
1/1/2013,1,1,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,1
1/2/2013,2,2,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,1
1/3/2013,3,3,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,1
1/4/2013,4,4,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,1
1/5/2013,5,5,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,1
1/6/2013,6,6,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,1
1/7/2013,7,7,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,2
1/8/2013,8,8,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,2
1/9/2013,9,9,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,2
1/10/2013,10,10,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,2
1/11/2013,11,11,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,2
1/12/2013,12,12,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,2
1/13/2013,13,13,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,2
1/14/2013,14,14,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,3
1/15/2013,15,15,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,3
1/16/2013,16,16,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,3
1/17/2013,17,17,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,3
1/18/2013,18,18,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,3
1/19/2013,19,19,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,3
1/20/2013,20,20,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,3
1/21/2013,21,21,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,4
1/22/2013,22,22,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,4
1/23/2013,23,23,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,4
1/24/2013,24,24,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,4
1/25/2013,25,25,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,4
1/26/2013,26,26,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,4
1/27/2013,27,27,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,4
1/28/2013,28,28,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,5
1/29/2013,29,29,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,5
1/30/2013,30,30,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,5
1/31/2013,31,31,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,5
2/1/2013,1,1,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,5
2/2/2013,2,2,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,5
2/3/2013,3,3,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,5
2/4/2013,4,4,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,6
2/5/2013,5,5,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,6
2/6/2013,6,6,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,6
2/7/2013,7,7,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,6
2/8/2013,8,8,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,6
2/9/2013,9,9,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,6
2/10/2013,10,10,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,6
2/11/2013,11,11,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,7
2/12/2013,12,12,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,7
2/13/2013,13,13,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,7
2/14/2013,14,14,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,7
2/15/2013,15,15,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,7
2/16/2013,16,16,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,7
2/17/2013,17,17,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,7
2/18/2013,18,18,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,8
2/19/2013,19,19,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,8
2/20/2013,20,20,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,8
2/21/2013,21,21,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,8
2/22/2013,22,22,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,8
2/23/2013,23,23,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,8
2/24/2013,24,24,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,8
2/25/2013,25,25,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,9
2/26/2013,26,26,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,9
2/27/2013,27,27,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,9
2/28/2013,28,28,February,Feb,2,CY2013-Feb,2013,CY2013,4,FY2013-Feb,2013,FY2013,9
3/1/2013,1,1,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,9
3/2/2013,2,2,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,9
3/3/2013,3,3,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,9
3/4/2013,4,4,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,10
3/5/2013,5,5,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,10
3/6/2013,6,6,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,10
3/7/2013,7,7,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,10
3/8/2013,8,8,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,10
3/9/2013,9,9,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,10
3/10/2013,10,10,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,10
3/11/2013,11,11,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,11
3/12/2013,12,12,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,11
3/13/2013,13,13,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,11
3/14/2013,14,14,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,11
3/15/2013,15,15,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,11
3/16/2013,16,16,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,11
3/17/2013,17,17,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,11
3/18/2013,18,18,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,12
3/19/2013,19,19,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,12
3/20/2013,20,20,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,12
3/21/2013,21,21,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,12
3/22/2013,22,22,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,12
3/23/2013,23,23,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,12
3/24/2013,24,24,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,12
3/25/2013,25,25,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,13
3/26/2013,26,26,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,13
3/27/2013,27,27,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,13
3/28/2013,28,28,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,13
3/29/2013,29,29,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,13
3/30/2013,30,30,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,13
3/31/2013,31,31,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,13
4/1/2013,1,1,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,14
4/2/2013,2,2,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,14
4/3/2013,3,3,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,14
4/4/2013,4,4,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,14
4/5/2013,5,5,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,14
4/6/2013,6,6,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,14
4/7/2013,7,7,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,14
4/8/2013,8,8,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,15
4/9/2013,9,9,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,15
4/10/2013,10,10,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,15
4/11/2013,11,11,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,15
4/12/2013,12,12,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,15
4/13/2013,13,13,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,15
4/14/2013,14,14,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,15
4/15/2013,15,15,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,16
4/16/2013,16,16,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,16
4/17/2013,17,17,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,16
4/18/2013,18,18,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,16
4/19/2013,19,19,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,16
4/20/2013,20,20,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,16
4/21/2013,21,21,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,16
4/22/2013,22,22,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,17
4/23/2013,23,23,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,17
4/24/2013,24,24,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,17
4/25/2013,25,25,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,17
4/26/2013,26,26,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,17
4/27/2013,27,27,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,17
4/28/2013,28,28,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,17
4/29/2013,29,29,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,18
4/30/2013,30,30,April,Apr,4,CY2013-Apr,2013,CY2013,6,FY2013-Apr,2013,FY2013,18
5/1/2013,1,1,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,18
5/2/2013,2,2,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,18
5/3/2013,3,3,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,18
5/4/2013,4,4,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,18
5/5/2013,5,5,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,18
5/6/2013,6,6,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,19
5/7/2013,7,7,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,19
5/8/2013,8,8,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,19
5/9/2013,9,9,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,19
5/10/2013,10,10,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,19
5/11/2013,11,11,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,19
5/12/2013,12,12,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,19
5/13/2013,13,13,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,20
5/14/2013,14,14,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,20
5/15/2013,15,15,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,20
5/16/2013,16,16,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,20
5/17/2013,17,17,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,20
5/18/2013,18,18,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,20
5/19/2013,19,19,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,20
5/20/2013,20,20,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,21
5/21/2013,21,21,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,21
5/22/2013,22,22,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,21
5/23/2013,23,23,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,21
5/24/2013,24,24,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,21
5/25/2013,25,25,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,21
5/26/2013,26,26,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,21
5/27/2013,27,27,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,22
5/28/2013,28,28,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,22
5/29/2013,29,29,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,22
5/30/2013,30,30,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,22
5/31/2013,31,31,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,22
6/1/2013,1,1,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,22
6/2/2013,2,2,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,22
6/3/2013,3,3,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,23
6/4/2013,4,4,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,23
6/5/2013,5,5,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,23
6/6/2013,6,6,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,23
6/7/2013,7,7,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,23
6/8/2013,8,8,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,23
6/9/2013,9,9,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,23
6/10/2013,10,10,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,24
6/11/2013,11,11,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,24
6/12/2013,12,12,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,24
6/13/2013,13,13,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,24
6/14/2013,14,14,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,24
6/15/2013,15,15,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,24
6/16/2013,16,16,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,24
6/17/2013,17,17,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,25
6/18/2013,18,18,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,25
6/19/2013,19,19,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,25
6/20/2013,20,20,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,25
6/21/2013,21,21,June,Jun,6,CY2013-Jun,2013,CY2013,8,FY2013-Jun,2013,FY2013,25
