Datekey,DayofMonth,MonthNumber,FirstOfMonth,ShortMonth,MonthName,MonthNumberYear,week,WeekNumber,DayOfWeek,QuarterFull,Qrt,QuarterYear,Year,FirstOfYear
1/1/2015,1,1,1/1/2015,Jan,January,2015-1,1,1,5,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/2/2015,2,1,1/1/2015,Jan,January,2015-1,1,1,6,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/3/2015,3,1,1/1/2015,Jan,January,2015-1,1,1,7,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/4/2015,4,1,1/1/2015,Jan,January,2015-1,2,1,1,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/5/2015,5,1,1/1/2015,Jan,January,2015-1,2,2,2,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/6/2015,6,1,1/1/2015,Jan,January,2015-1,2,2,3,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/7/2015,7,1,1/1/2015,Jan,January,2015-1,2,2,4,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/8/2015,8,1,1/1/2015,Jan,January,2015-1,2,2,5,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/9/2015,9,1,1/1/2015,Jan,January,2015-1,2,2,6,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/10/2015,10,1,1/1/2015,Jan,January,2015-1,2,2,7,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/11/2015,11,1,1/1/2015,Jan,January,2015-1,3,2,1,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/12/2015,12,1,1/1/2015,Jan,January,2015-1,3,3,2,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/13/2015,13,1,1/1/2015,Jan,January,2015-1,3,3,3,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/14/2015,14,1,1/1/2015,Jan,January,2015-1,3,3,4,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/15/2015,15,1,1/1/2015,Jan,January,2015-1,3,3,5,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/16/2015,16,1,1/1/2015,Jan,January,2015-1,3,3,6,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/17/2015,17,1,1/1/2015,Jan,January,2015-1,3,3,7,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/18/2015,18,1,1/1/2015,Jan,January,2015-1,4,3,1,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/19/2015,19,1,1/1/2015,Jan,January,2015-1,4,4,2,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/20/2015,20,1,1/1/2015,Jan,January,2015-1,4,4,3,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/21/2015,21,1,1/1/2015,Jan,January,2015-1,4,4,4,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/22/2015,22,1,1/1/2015,Jan,January,2015-1,4,4,5,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/23/2015,23,1,1/1/2015,Jan,January,2015-1,4,4,6,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/24/2015,24,1,1/1/2015,Jan,January,2015-1,4,4,7,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/25/2015,25,1,1/1/2015,Jan,January,2015-1,5,4,1,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/26/2015,26,1,1/1/2015,Jan,January,2015-1,5,5,2,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/27/2015,27,1,1/1/2015,Jan,January,2015-1,5,5,3,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/28/2015,28,1,1/1/2015,Jan,January,2015-1,5,5,4,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/29/2015,29,1,1/1/2015,Jan,January,2015-1,5,5,5,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/30/2015,30,1,1/1/2015,Jan,January,2015-1,5,5,6,Quarter 1,Q 1,Jan-15,2015,1/1/2015
1/31/2015,31,1,1/1/2015,Jan,January,2015-1,5,5,7,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/1/2015,1,2,2/1/2015,Feb,February,2015-2,6,5,1,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/2/2015,2,2,2/1/2015,Feb,February,2015-2,6,6,2,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/3/2015,3,2,2/1/2015,Feb,February,2015-2,6,6,3,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/4/2015,4,2,2/1/2015,Feb,February,2015-2,6,6,4,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/5/2015,5,2,2/1/2015,Feb,February,2015-2,6,6,5,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/6/2015,6,2,2/1/2015,Feb,February,2015-2,6,6,6,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/7/2015,7,2,2/1/2015,Feb,February,2015-2,6,6,7,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/8/2015,8,2,2/1/2015,Feb,February,2015-2,7,6,1,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/9/2015,9,2,2/1/2015,Feb,February,2015-2,7,7,2,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/10/2015,10,2,2/1/2015,Feb,February,2015-2,7,7,3,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/11/2015,11,2,2/1/2015,Feb,February,2015-2,7,7,4,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/12/2015,12,2,2/1/2015,Feb,February,2015-2,7,7,5,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/13/2015,13,2,2/1/2015,Feb,February,2015-2,7,7,6,Quarter 1,Q 1,Jan-15,2015,1/1/2015
2/14/2015,14,2,2/1/2015,Feb,February,2015-2,7,7,7,Quarter 1,Q 1,Jan-15,2015,1/1/2015
