EntityKey,EntityLabel,ParentEntityKey,ParentEntityLabel,EntityName,EntityDescription,EntityType,StartDate,EndDate,Status,,,
1,1,NULL,NULL,Contoso North America,Contoso North America,Group,1996-07-31,NULL,Current,,,
2,2,NULL,NULL,Contoso Europe,Contoso Europe,Group,1997-02-26,NULL,Current,,,
3,3,NULL,NULL,Contoso Asia,Contoso Asia,Group,1997-12-12,NULL,Current,,,
4,101,1,North America,Contoso United States,Contoso United States,Country/Region,1998-01-05,NULL,Current,,,
5,215,2,Europe,Contoso UK,Contoso UK,Country/Region,2000-06-30,NULL,Current,,,
6,203,2,Europe,Contoso France,Contoso France,Country/Region,1998-01-11,NULL,Current,,,
7,208,2,Europe,Contoso Italy,Contoso Italy,Country/Region,1998-01-20,NULL,Current,,,
8,204,2,Europe,Contoso Germany,Contoso Germany,Country/Region,1999-08-16,NULL,Current,,,
9,206,2,Europe,Contoso the Netherlands,Contoso the Netherlands,Country/Region,1998-01-26,NULL,Current,,,
10,202,2,Europe,Contoso Denmark,Contoso Denmark,Country/Region,1998-02-06,NULL,Current,,,
11,214,2,Europe,Contoso Sweden,Contoso Sweden,Country/Region,1998-02-06,NULL,Current,,,
12,213,2,Europe,Contoso Spain,Contoso Spain,Country/Region,1998-02-07,NULL,Current,,,
13,212,2,Europe,Contoso Slovenia,Contoso Slovenia,Country/Region,1998-02-24,NULL,Current,,,
14,211,2,Europe,Contoso Romania,Contoso Romania,Country/Region,1998-03-03,NULL,Current,,,
15,102,1,North America,Contoso Canada,Contoso Canada,Country/Region,1999-01-07,NULL,Current,,,
16,210,2,Europe,Contoso Poland,Contoso Poland,Country/Region,1998-03-11,NULL,Current,,,
17,209,2,Europe,Contoso Malta,Contoso Malta,Country/Region,1998-03-23,NULL,Current,,,
18,207,2,Europe,Contoso Ireland,Contoso Ireland,Country/Region,1998-03-30,NULL,Current,,,
19,205,2,Europe,Contoso Greece,Contoso Greece,Country/Region,1998-04-11,NULL,Current,,,
20,310,3,Asia,Contoso Singapore,Contoso Singapore,Country/Region,1998-04-18,NULL,Current,,,
21,304,3,Asia,Contoso India,Contoso India,Country/Region,1998-04-29,NULL,Current,,,
22,302,3,Asia,Contoso Bhutan,Contoso Bhutan,Country/Region,1999-01-02,NULL,Current,,,
23,303,3,Asia,Contoso China,Contoso China,Country/Region,1999-01-02,NULL,Current,,,
24,305,3,Asia,Contoso Iran,Contoso Iran,Country/Region,1999-01-03,NULL,Current,,,
25,312,3,Asia,Contoso Syria,Contoso Syria,Country/Region,1999-01-03,NULL,Current,,,
26,313,3,Asia,Contoso Thailand,Contoso Thailand,Country/Region,1999-01-03,NULL,Current,,,
27,217,2,Europe,Contoso Russia,Contoso Russia,Country/Region,1999-01-04,NULL,Current,,,
28,314,3,Asia,Contoso Turkmenistan,Contoso Turkmenistan,Country/Region,1999-01-05,NULL,Current,,,
29,308,3,Asia,Contoso Pakistan,Contoso Pakistan,Country/Region,1999-01-05,NULL,Current,,,
30,306,3,Asia,Contoso Japan,Contoso Japan,Country/Region,1999-01-05,NULL,Current,,,
31,311,3,Asia,Contoso South Korea,Contoso South Korea,Country/Region,1999-01-06,NULL,Current,,,
32,307,3,Asia,Contoso Kyrgyzstan,Contoso Kyrgyzstan,Country/Region,1999-01-07,NULL,Current,,,
33,10112,4,United States,Contoso Washington,Contoso Washington,State,1999-01-07,NULL,Current,,,
34,10101,4,United States,Contoso Colorado,Contoso Colorado,State,1999-01-08,NULL,Current,,,
35,10113,4,United States,Contoso Wisconsin,Contoso Wisconsin,State,1999-01-08,NULL,Current,,,
36,10110,4,United States,Contoso Texas,Contoso Texas,State,1999-01-08,NULL,Current,,,
37,10103,4,United States,Contoso Florida,Contoso Florida,State,1999-01-08,NULL,Current,,,
38,10108,4,United States,Contoso New York,Contoso New York,State,1999-01-08,NULL,Current,,,
39,10107,4,United States,Contoso New Jersey,Contoso New Jersey,State,1999-01-09,NULL,Current,,,
40,10106,4,United States,Contoso Massachusetts,Contoso Massachusetts,State,1999-01-09,NULL,Current,,,
41,10104,4,United States,Contoso Maine,Contoso Maine,State,1999-01-10,NULL,Current,,,
42,10102,4,United States,Contoso Connecticut,Contoso Connecticut,State,1999-01-10,NULL,Current,,,
43,10111,4,United States,Contoso Virginia,Contoso Virginia,State,1999-01-10,NULL,Current,,,
44,10109,4,United States,Contoso South Carolina,Contoso South Carolina,State,1999-01-12,NULL,Current,,,
45,10105,4,United States,Contoso Maryland,Contoso Maryland,State,1999-01-13,NULL,Current,,,
46,21501,5,UK,Contoso England,Contoso England,State,1999-01-13,NULL,Current,,,
47,21502,5,UK,Contoso Scotland,Contoso Scotland,State,1999-01-13,NULL,Current,,,
48,30305,23,China,Contoso Xinjiang,Contoso Xinjiang,State,1999-01-13,NULL,Current,,,
49,30304,23,China,Contoso Shanghai,Contoso Shanghai,State,1999-01-14,NULL,Current,,,
50,30301,23,China,Contoso Beijing,Contoso Beijing,State,1999-01-15,NULL,Current,,,
51,30302,23,China,Contoso Guangdong,Contoso Guangdong,State,1999-01-15,NULL,Current,,,
52,301,3,Asia,Contoso Australia,Contoso Australia,Country/Region,1999-01-07,NULL,Current,,,
53,201,2,Europe,Contoso Switzerland,Contoso Switzerland,Country/Region,1998-04-11,NULL,Current,,,
54,10114,4,United States,Contoso Alaska,Contoso Alaska,State,1999-01-13,NULL,Current,,,
58,10116,4,United States,Contoso Catalog Store,Contoso Catalog Store,Store,2009-08-07,NULL,Current,,,
59,10115,4,United States,Contoso North America Online Store,Contoso North America Online Store,Store,2009-08-07,NULL,Current,,,
60,10201,15,Canada,Contoso Ontario,Contoso Ontario,State,1999-02-14,NULL,Current,,,
61,10202,15,Canada,Contoso Quebec,Contoso Quebec,State,1999-02-14,NULL,Current,,,
62,10203,15,Canada,Contoso British Columbia,Contoso British Columbia,State,1999-02-14,NULL,Current,,,
63,10204,15,Canada,Contoso Alberta,Contoso Alberta,State,1999-02-14,NULL,Current,,,
571,20303,6,France ,Contoso Ile-del-France,Contoso Ile-del-France,State,1999-01-15,NULL,Current,,,
572,20306,6,France,Contoso Provence-Alpes-Cote d'Azur,Contoso Provence-Alpes-Cote d'Azur,State,1999-01-16,NULL,Current,,,
573,20307,6,France,Contoso Rhone-Alpes,Contoso Rhone-Alpes,State,1999-01-16,NULL,Current,,,
574,20304,6,France,Contoso Midi-Pyrenees,Contoso Midi-Pyrenees,State,1999-01-16,NULL,Current,,,
575,20301,6,France,Contoso Provence-Alpes-Côte d'Azur,Contoso Provence-Alpes-Côte d'Azur,State,1999-01-17,NULL,Current,,,
