Customer Data,,,,,,,,,,,
Customer Key,WWI Customer ID,Customer,Bill To Customer,Category,Buying Group,Primary Contact,Postal Code, Credit Limit ,Valid From,Valid To,Lineage Key
0,0,Unknown,N/A,N/A,N/A,N/A,N/A, ? -       ,00:00.0,###############################################################################################################################################################################################################################################################,0
1,1,Tailspin Toys (Head Office),Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Waldemar Fisar,90410," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
2,2,"Tailspin Toys (Sylvanite, MT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lorena Cindric,90216," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
3,3,"Tailspin Toys (Peeples Valley, AZ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bhaargav Rambhatla,90205," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
4,4,"Tailspin Toys (Medicine Lodge, KS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Daniel Roman,90152," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
5,5,"Tailspin Toys (Gasport, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Johanna Huiting,90261," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
6,6,"Tailspin Toys (Jessie, ND)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Biswajeet Thakur,90298," ? 5,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
7,7,"Tailspin Toys (Frankewing, TN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kalidas Nadar,90761," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
8,8,"Tailspin Toys (Bow Mar, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kanti Kotadia,90484," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
9,9,"Tailspin Toys (Netcong, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sointu Aalto,90129," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
10,10,"Tailspin Toys (Wimbledon, ND)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Siddhartha Parkar,90061," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
11,11,"Tailspin Toys (Devault, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Elnaz Javan,90185," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
12,12,"Tailspin Toys (Biscay, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Heloisa Fernandes,90054," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
13,13,"Tailspin Toys (Stonefort, IL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Razeena Hosseini,90685," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
14,14,"Tailspin Toys (Long Meadow, MD)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tereza Valentova,90633," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
15,15,"Tailspin Toys (Batson, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Filips Jaunzems,90631," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
16,16,"Tailspin Toys (Coney Island, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nitin Matondkar,90467," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
17,17,"Tailspin Toys (East Fultonham, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Adam Kubat,90416," ? 3,320.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
18,18,"Tailspin Toys (Goffstown, NH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Isabelle Vodlan,90321," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
19,19,"Tailspin Toys (Lemeta, AK)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Mithun Bhattacharya,90303," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
20,20,"Tailspin Toys (College Place, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nghi Hua,90050," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
21,21,"Tailspin Toys (Tresckow, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Duleep Raju,90790," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
22,22,"Tailspin Toys (Ward Ridge, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Cristina Longo,90784," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
23,23,"Tailspin Toys (Ikatan, AK)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Hang Tang,90019," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
24,24,"Tailspin Toys (Dundarrach, NC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Intira Mookjai,90758," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
25,25,"Tailspin Toys (Avenal, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sulabha Khalsa,90352," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
26,26,"Tailspin Toys (Hedrick, IA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Dhanishta Majji,90331," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
27,27,"Tailspin Toys (Bowlus, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Paula Gonzales,90703," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
28,28,"Tailspin Toys (North Ridge, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tatjana Utjesenovic,90024," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
29,29,"Tailspin Toys (Eulaton, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Karel Hanak,90571," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
30,30,"Tailspin Toys (Koontzville, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Odessa Schneider,90288," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
31,31,"Tailspin Toys (Lake Stevens, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kimberly Pace,90394," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
32,32,"Tailspin Toys (Maypearl, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nikolajs Kalejs,90087," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
33,33,"Tailspin Toys (Boyden Arbor, SC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Haasini Rai,90497," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
34,34,"Tailspin Toys (Dallardsville, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Anjali Asthana,90041," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
35,35,"Tailspin Toys (Slanesville, WV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Shah Omidi,90601," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
36,36,"Tailspin Toys (Ekron, KY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ferhat Celik,90603," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
37,37,"Tailspin Toys (Kerby, OR)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Dayarama Kamei,90686," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
38,38,"Tailspin Toys (Airport Drive, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nils Kalnins,90211," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
39,39,"Tailspin Toys (Diablock, KY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ashish Acharya,90158," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
40,40,"Tailspin Toys (Impact, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Alena Prikrylova,90326," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
41,41,"Tailspin Toys (Olivette, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lana Rozej,90042," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
42,42,"Tailspin Toys (Arietta, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Chandrakanta Raut,90124," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
43,43,"Tailspin Toys (Upper Preston, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ganapati Gadiyaram,90687," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
44,44,"Tailspin Toys (Amanda Park, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Adrijana Blagojevic,90258," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
45,45,"Tailspin Toys (Severna Park, MD)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lap Dinh,90326," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
46,46,"Tailspin Toys (Jemison, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Didem ozCelik,90683," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
47,47,"Tailspin Toys (Lake Hughes, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Serhat Akbulut,90358," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
48,48,"Tailspin Toys (Trentwood, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Daniela Barrios,90615," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
49,49,"Tailspin Toys (Muir, MI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Julia Slobodova,90717," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
50,50,"Tailspin Toys (Hambleton, WV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Marcela Jankova,90087," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
51,51,"Tailspin Toys (Imlaystown, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Dipali Sonkar,90051," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
52,52,"Tailspin Toys (Idria, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bansidhar Mitra,90556," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
53,53,"Tailspin Toys (Nanafalia, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gunnar Persson,90783," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
54,54,"Tailspin Toys (Railroad, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Vitezslav Rehak,90586," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
55,55,"Tailspin Toys (Gum Branch, GA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bharat Sikdar,90559," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
56,56,"Tailspin Toys (Royal City, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Juan Bezanson,90398," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
