",,",,,,,,,,,,,,,,,,,,,,
Stock Item Key,WWI Stock Item ID,Stock Item,Color,Selling Package,Buying Package,Brand,Size,Lead Time Days,Quantity Per Outer,Is Chiller Stock,Barcode,Tax Rate,Unit Price, Recommended Retail Price ,Typical Weight Per Unit,Photo,Discount,Valid From,Valid To,Lineage Key
0,0,Unknown,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0, ? -       ,0,NULL,,00:00.0,###############################################################################################################################################################################################################################################################,0
1,219,Void fill 400 L bag (White) 400L,N/A,Each,Each,N/A,400L,14,10,0,N/A,14,50, ? 74.750 ,1,NULL,,00:00.0,00:00.0,5
2,218,Void fill 300 L bag (White) 300L,N/A,Each,Each,N/A,300L,14,10,0,N/A,14,37.5, ? 56.060 ,0.75,NULL,,00:00.0,00:00.0,5
3,217,Void fill 200 L bag (White) 200L,N/A,Each,Each,N/A,200L,14,10,0,N/A,14,25, ? 37.380 ,0.5,NULL,,00:00.0,00:00.0,5
4,216,Void fill 100 L bag (White) 100L,N/A,Each,Each,N/A,100L,14,10,0,N/A,14,12.5, ? 18.690 ,0.25,NULL,,00:00.0,00:00.0,5
5,215,Air cushion machine (Blue),N/A,Each,Each,N/A,N/A,20,1,0,N/A,20,1899," ? 2,839.010 ",10,NULL,,00:00.0,00:00.0,5
6,214,Air cushion film 200mmx200mm 325m,N/A,Each,Each,N/A,325m,14,1,0,N/A,14,90, ? 134.550 ,6,NULL,,00:00.0,00:00.0,5
7,213,Air cushion film 200mmx100mm 325m,N/A,Each,Each,N/A,325m,14,1,0,N/A,14,87, ? 130.070 ,5,NULL,,00:00.0,00:00.0,5
8,212,Large  replacement blades 18mm,N/A,Each,Each,N/A,18mm,14,10,0,N/A,14,4.3, ? 6.430 ,0.8,NULL,,00:00.0,00:00.0,5
9,211,Small 9mm replacement blades 9mm,N/A,Each,Each,N/A,9mm,14,10,0,N/A,14,4.1, ? 6.130 ,0.7,NULL,,00:00.0,00:00.0,5
10,210,Packing knife with metal insert blade (Yellow) 18mm,N/A,Each,Each,N/A,18mm,14,5,0,N/A,14,2.4, ? 3.590 ,0.5,NULL,,00:00.0,00:00.0,5
11,209,Packing knife with metal insert blade (Yellow) 9mm,N/A,Each,Each,N/A,9mm,14,5,0,N/A,14,1.89, ? 2.830 ,0.5,NULL,,00:00.0,00:00.0,5
12,208,Permanent marker red 5mm nib (Red) 5mm,N/A,Each,Each,N/A,5mm,14,12,0,N/A,14,2.7, ? 4.040 ,0.1,NULL,,00:00.0,00:00.0,5
13,207,Permanent marker blue 5mm nib (Blue) 5mm,N/A,Each,Each,N/A,5mm,14,12,0,N/A,14,2.7, ? 4.040 ,0.1,NULL,,00:00.0,00:00.0,5
14,206,Permanent marker black 5mm nib (Black) 5mm,N/A,Each,Each,N/A,5mm,14,12,0,N/A,14,2.7, ? 4.040 ,0.1,NULL,,00:00.0,00:00.0,5
15,205,Tape dispenser (Blue),N/A,Each,Each,N/A,N/A,20,10,0,N/A,20,32, ? 47.840 ,1,NULL,,00:00.0,00:00.0,5
16,204,Tape dispenser (Red),N/A,Each,Each,N/A,N/A,20,10,0,N/A,20,32, ? 47.840 ,1,NULL,,00:00.0,00:00.0,5
17,203,Tape dispenser (Black),N/A,Each,Each,N/A,N/A,20,10,0,N/A,20,32, ? 47.840 ,1,NULL,,00:00.0,00:00.0,5
18,202,Red and white urgent  heavy despatch tape  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,0,N/A,14,4.1, ? 6.130 ,0.7,NULL,,00:00.0,00:00.0,5
19,201,Red and white urgent despatch tape 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,0,N/A,14,3.7, ? 5.530 ,0.5,NULL,,00:00.0,00:00.0,5
20,200,Black and yellow heavy despatch tape 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,0,N/A,14,4.1, ? 6.130 ,0.7,NULL,,00:00.0,00:00.0,5
21,199,Black and yellow heavy despatch tape  48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,0,N/A,14,3.7, ? 5.530 ,0.5,NULL,,00:00.0,00:00.0,5
22,198,Black and orange this way up despatch tape  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,0,N/A,14,4.1, ? 6.130 ,0.7,NULL,,00:00.0,00:00.0,5
23,197,Black and orange this way up despatch tape 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,0,N/A,14,3.7, ? 5.530 ,0.5,NULL,,00:00.0,00:00.0,5
24,196,Black and orange handle with care despatch tape  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,0,N/A,14,4.1, ? 6.130 ,0.7,NULL,,00:00.0,00:00.0,5
25,195,Black and orange handle with care despatch tape  48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,0,N/A,14,3.7, ? 5.530 ,0.5,NULL,,00:00.0,00:00.0,5
26,194,Black and orange glass with care despatch tape  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,0,N/A,14,4.1, ? 6.130 ,0.7,NULL,,00:00.0,00:00.0,5
27,193,Black and orange glass with care despatch tape 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,0,N/A,14,3.7, ? 5.530 ,0.5,NULL,,00:00.0,00:00.0,5
28,192,Black and orange fragile despatch tape 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,36,0,N/A,14,4.1, ? 6.130 ,0.7,NULL,,00:00.0,00:00.0,5
29,191,Black and orange fragile despatch tape 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,36,0,N/A,14,3.7, ? 5.530 ,0.5,NULL,,00:00.0,00:00.0,5
30,190,Clear packaging tape 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,20,0,N/A,14,3.5, ? 5.230 ,0.7,NULL,,00:00.0,00:00.0,5
31,189,Clear packaging tape 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,26,0,N/A,14,2.9, ? 4.340 ,0.5,NULL,,00:00.0,00:00.0,5
32,188,3 kg Courier post bag (White) 300x190x95mm,N/A,Each,Each,N/A,300x190x95mm,14,25,0,N/A,14,0.66, ? 0.990 ,0.1,NULL,,00:00.0,00:00.0,5
33,187,Express post box 5kg (White) 350x280x130mm,N/A,Each,Each,N/A,350x280x130mm,14,25,0,N/A,14,0.95, ? 1.420 ,0.2,NULL,,00:00.0,00:00.0,5
34,186,Shipping carton (Brown) 457x457x457mm,N/A,Each,Each,N/A,457x457x457mm,14,25,0,N/A,14,2.1, ? 3.140 ,0.4,NULL,,00:00.0,00:00.0,5
35,185,Shipping carton (Brown) 356x356x279mm,N/A,Each,Each,N/A,356x356x279mm,14,25,0,N/A,14,2.04, ? 3.050 ,0.3,NULL,,00:00.0,00:00.0,5
36,184,Shipping carton (Brown) 305x305x305mm,N/A,Each,Each,N/A,305x305x305mm,14,25,0,N/A,14,3.5, ? 5.230 ,0.3,NULL,,00:00.0,00:00.0,5
37,183,Shipping carton (Brown) 480x270x320mm,N/A,Each,Each,N/A,480x270x320mm,14,25,0,N/A,14,2.74, ? 4.100 ,0.4,NULL,,00:00.0,00:00.0,5
38,182,Shipping carton (Brown) 457x279x279mm,N/A,Each,Each,N/A,457x279x279mm,14,25,0,N/A,14,1.28, ? 1.910 ,0.4,NULL,,00:00.0,00:00.0,5
39,181,Shipping carton (Brown) 356x229x229mm,N/A,Each,Each,N/A,356x229x229mm,14,25,0,N/A,14,1.14, ? 1.700 ,0.4,NULL,,00:00.0,00:00.0,5
40,180,Shipping carton (Brown) 279x254x217mm,N/A,Each,Each,N/A,279x254x217mm,14,25,0,N/A,14,1.11, ? 1.660 ,0.3,NULL,,00:00.0,00:00.0,5
41,179,Shipping carton (Brown) 229x229x229mm,N/A,Each,Each,N/A,229x229x229mm,14,25,0,N/A,14,1.05, ? 1.570 ,0.3,NULL,,00:00.0,00:00.0,5
42,178,Shipping carton (Brown) 500x310x310mm,N/A,Each,Each,N/A,500x310x310mm,14,25,0,N/A,14,2.55, ? 3.810 ,0.4,NULL,,00:00.0,00:00.0,5
43,177,Shipping carton (Brown) 413x285x187mm,N/A,Each,Each,N/A,413x285x187mm,14,25,0,N/A,14,1.05, ? 1.570 ,0.3,NULL,,00:00.0,00:00.0,5
44,176,Bubblewrap dispenser (Red) 1.5m,Red,Each,Each,N/A,1.5m,14,1,0,N/A,14,240, ? 358.800 ,10,NULL,,00:00.0,00:00.0,5
